year;country_code;country;sector_nace_r2;employment_thousand_persons;employment_persons;data_flag;sex;age;source_id;dataset_id;source;unit
2015;PT;Portugal;"Wholesale and retail trade; repair of motor vehicles and motorcycles";701.4;701400.0;;Total;15 years or over;F012;D079;Eurostat Labour Force Survey (lfsa_egan2);thousand_persons
2016;PT;Portugal;Accommodation and food service activities;281.1;281100.0;;Total;15 years or over;F012;D079;Eurostat Labour Force Survey (lfsa_egan2);thousand_persons
2016;PT;Portugal;"Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use";113.8;113800.0;;Total;15 years or over;F012;D079;Eurostat Labour Force Survey (lfsa_egan2);thousand_persons
2016;PT;Portugal;Administrative and support service activities;155.6;155600.0;;Total;15 years or over;F012;D079;Eurostat Labour Force Survey (lfsa_egan2);thousand_persons
2016;PT;Portugal;Agriculture, forestry and fishing;321.7;321700.0;;Total;15 years or over;F012;D079;Eurostat Labour Force Survey (lfsa_egan2);thousand_persons
2016;PT;Portugal;Arts, entertainment and recreation;60.9;60900.0;;Total;15 years or over;F012;D079;Eurostat Labour Force Survey (lfsa_egan2);thousand_persons
2016;PT;Portugal;Construction;290.2;290200.0;;Total;15 years or over;F012;D079;Eurostat Labour Force Survey (lfsa_egan2);thousand_persons
2016;PT;Portugal;Education;381.2;381200.0;;Total;15 years or over;F012;D079;Eurostat Labour Force Survey (lfsa_egan2);thousand_persons
2016;PT;Portugal;Electricity, gas, steam and air conditioning supply;18.7;18700.0;;Total;15 years or over;F012;D079;Eurostat Labour Force Survey (lfsa_egan2);thousand_persons
2016;PT;Portugal;Financial and insurance activities;113.6;113600.0;;Total;15 years or over;F012;D079;Eurostat Labour Force Survey (lfsa_egan2);thousand_persons
2016;PT;Portugal;Human health and social work activities;424.3;424300.0;;Total;15 years or over;F012;D079;Eurostat Labour Force Survey (lfsa_egan2);thousand_persons
